company,price,mkt_cap,shares
EPAM Systems,74.67,3.774092852,50543630
EQT Corporation,33.71,9.94482681,295011178
Equifax,104.29,12.41051,119000000
Equinix,274.18,19.03575149,69427936
Equity Residential,51.1,18.67684657,365496019
Erie Indemnity,74.87,3.458365841,46191610
Essex Property Trust,171.75,11.23704019,65426726
Estée Lauder Companies (The),83.3,12.21667279,146658737
Everest Group,158.05,6.701267211,42399666
Eversource Energy,42.18,13.37979278,317207036
Exelon,17.99,22.3798151,1244014180
Expedia Group,102.65,1.31392,12800000
Expeditors International,43.04,7.81442848,181562000
Extra Space Storage,65.71,8.22224788,125129324
ExxonMobil,54.4,225.5756575,4146611352
"F5, Inc.",105.85,7.08993885,66981000
FactSet,137.02,5.601385684,40880059
Fair Isaac,106.02,3.30347718,31159000
Fastenal,9.47,10.94249216,1155490196
Federal Realty Investment Trust,108.71,7.703328553,70861269
FedEx,140.31,37.66253805,268423762
Fidelity National Information Services,53.78,15.17422265,282153638
Fifth Third Bancorp,11.97,9.222535093,770470768
First Solar,68.47,6.998935409,102219007
FirstEnergy,23.97,10.18035697,424712431
Fiserv,51.29,22.86890834,445874602
Ford Motor Company,8.48,33.65712,3969000000
Fortinet,6.13,5.2591722,857940000
Franklin Resources,24.56,14.39545674,586134232
Freeport-McMoRan,9.44,11.81746211,1251849800
Garmin,30.84,5.83471212,189193000
Gartner,89.35,13.95954498,156234415
GE Aerospace,135.93,250.7888906,1844985585
Gen Digital,9.05,5.902613824,652222522
Generac,37.24,2.471505181,66366949
General Dynamics,106.09,33.20482022,312987277
General Mills,44.9,26.68862906,594401538
General Motors,25.65,38.475,1500000000
Genuine Parts Company,75.66,11.32048405,149623104
Gilead Sciences,65.3,88.0244,1348000000
Globe Life,50.07,6.071717971,121264589
GoDaddy,32.33,5.1136361,158170000
Goldman Sachs,128.51,53.66220394,417572204
Halliburton,29.57,25.31192,856000000
Hartford (The),37.33,14.76785999,395603000
Hasbro,57.79,7.201995186,124623554
HCA Healthcare,72.55,28.5593075,393650000
Healthpeak Properties,19.61,2.125318544,108379324
Henry Schein,67.7,-,-
Hershey Company (The),73.02,31.72529148,434474000
Hewlett Packard Enterprise,7.96,13.66385013,1716564087
Hilton Worldwide,45.33,14.91357,329000000
Hologic,34.5,9.79172307,283818060
Home Depot (The),105.71,132.34892,1252000000
Honeywell,82.72,69.78748315,843659129
Hormel Foods,34.04,18.03839197,529917508
Host Hotels & Resorts,11.62,8.670844,746200000
HP Inc.,9.06,15.7366412,1736936115
Hubbell Incorporated,86.31,4.988718,57800000
Humana,169.71,25.29301055,149036654
Huntington Bancshares,6.43,5.122710765,796689077
Huntington Ingalls Industries,113.63,5.351973,47100000
IBM,95.54,95.93363407,1004120097
IDEX Corporation,73.26,5.562587624,75929397
Idexx Laboratories,78.32,7.124264609,90963542
Illinois Tool Works,82.04,29.4827436,359370351
Incyte,72.47,13.58103229,187402129
Insulet Corporation,33.16,1.893849903,57112482
Intel,25.8,121.905,4725000000
Interactive Brokers,9.18,2.349681808,255956624
Intercontinental Exchange,41.67,24.79365,595000000
International Flavors & Fragrances,100.17,7.991338119,79777759
International Paper,25.7,12.18278688,474038400
Interpublic Group of Companies (The),15.85,6.39072,403200000
Intuit,96.47,24.77554348,256821224
Intuitive Surgical,66.78,22.898862,342900000
Invesco,19.36,8.078274871,417266264
IQVIA,65.1,7.7878479,119629000
Iron Mountain,19.95,4.227260442,211892754
J.B. Hunt,76.91,8.664244674,112654332
Jabil,17.89,3.420347345,191187666
Jack Henry & Associates,75.28,7.73089571,102695214
Jacobs Solutions,33.01,4.890219576,148143580
Johnson & Johnson,82.65,228.6878909,2766943629
Johnson Controls,30.37,12.32642375,405875000
JPMorgan Chase,45.48,166.3048479,3656658925
Keurig Dr Pepper,12.65,2.361681124,186694160
KeyCorp,7.38,6.2161002,842290000
Keysight Technologies,27.74,4.752162341,171310827
Kimberly-Clark,97.55,35.13751,360200000
Kinder Morgan,10.88,24.25152,2229000000
KLA Corporation,61.52,9.576488653,155664640
Kroger,31.36,30.18337995,962480228
Labcorp,96.1,11.42094684,118844400
Lam Research,7.21,11.4868999,1593190000
Las Vegas Sands,40.29,32.01929273,794720594
Leidos,31.76,2.291957891,72164921
Lennar,41.89,8.215071987,196110575
Lennox International,120.85,5.444915482,45055155
Lilly (Eli),61.08,67.68131561,1108076549
Live Nation Entertainment,22.31,4.516874702,202459646
LKQ Corporation,28.66,8.784918428,306521927
Lockheed Martin,170.74,51.98230846,304453019
Loews Corporation,36.2,12.3042912,339897547
Lowe's,63.26,57.5666,910000000
Lululemon Athletica,67.71,8.632626933,127494121
LyondellBasell,41.74,17.8713297,428158354
M&T Bank,83.71,11.15768732,133289778
Marathon Petroleum,27.38,14.49024766,529227453
Marriott International,64.93,16.505206,254200000
Marsh McLennan,51.65,26.90965,521000000
Martin Marietta Materials,148.15,9.40826575,63505000
Masco,27.17,9.040712515,332746136
Mastercard,89.19,98.28738,1102000000
Match Group,10.27,1.818273471,177047076
McCormick & Company,41.41,10.512143,253855180
McDonald's,99.25,87.12735995,877857531
McKesson Corporation,145.7,39.4847,271000000
Medtronic,58.63,82.14316586,1401043252
Merck & Co.,37.71,110.4010483,2927633208
Meta Platforms,113.41,324.3526,2860000000
MetLife,25.11,30.94924922,1232546763
Mettler Toledo,344.76,9.225468006,26759102
MGM Resorts,20.23,11.43286328,565144008
Microchip Technology,20.03,8.175513984,408163454
Micron Technology,10.22,11.1398,1090000000
Microsoft,48.7,383.269,7870000000
Mid-America Apartment Communities,72.34,5.462033509,75505025
Mohawk Industries,190.9,15.516352,81280000
Molina Healthcare,64.49,3.67593,57000000
Molson Coors Beverage Company,76.41,0.198666,2600000
Mondelez International,32.38,51.16147353,1580033154
Monolithic Power Systems,58.79,2.36547444,40236000
Monster Beverage,22.23,27.08160858,1218246000
Moody's Corporation,87.65,17.030395,194300000
Morgan Stanley,18.98,36.7888271,1938294368
Mosaic Company (The),22.48,7.863504,349800000
Motorola Solutions,65.34,11.39123518,174337851
MSCI Inc.,66.68,8.587696863,128789695
"Nasdaq, Inc.",18.95,9.351978438,493508097
NetApp,21.32,6.163247385,289082898
Netflix,10.22,43.77115788,4282892160
Newmont,20.89,11.0717,530000000
News Corp,7.21,0.03942524614,5468134
NextEra Energy,23.08,42.6006902,1845783804
"Nike, Inc.",54.27,91.44495,1685000000
NiSource,17.26,5.546678519,321360285
Nordson Corporation,68.87,3.924904193,56990042
Norfolk Southern,68.1,20.13974561,295737821
Northern Trust,50.18,11.44925507,228163712
Northrop Grumman,169.12,30.58177596,180828855
Norwegian Cruise Line Holdings,55.29,12.55090918,227001432
NRG Energy,10.64,3.350602181,314906220
Nucor,38.16,12.19650451,319614898
Nvidia,0.87,18.84910986,21665643520
"NVR, Inc.",1732.4,6.723688668,3881141
NXP Semiconductors,72.39,-,-
Occidental Petroleum,50.4,38.49257145,763741497
Old Dominion,22.29,5.593635244,250948194
Omnicom Group,60.11,14.4017897,239590579
ON Semiconductor,9.59,3.95146173,412039805
Oneok,16.36,3.437215599,210098753
Oracle Corporation,35.33,146.6147305,4149865000
Paccar,25.71,13.55014045,527037746
Packaging Corporation of America,45.62,4.38540498,96129000
Palo Alto Networks,27.19,14.4167588,530222832
Parker Hannifin,95.31,12.83649157,134681477
Paychex,40.31,14.51647969,360121054
Paycom,34.9,1.994121679,57138157
PayPal,38.51,46.52008,1208000000
Pentair,31.06,8.357075038,269062300
PepsiCo,77.12,111.51552,1446000000
Pfizer,18.43,119.6140931,6490184109
PG&E Corporation,56.51,28.00673473,495606702
Philip Morris International,60.64,93.95222434,1549344069
Phillips 66,59.88,31.47181771,525581458
Pinnacle West Capital,51.18,5.673290307,110849752
Pool Corporation,78.46,3.29997409,42059318
PPG Industries,93.28,24.8183947,266063408
PPL Corporation,24.88,16.65750832,669514000
Principal Financial Group,27.41,7.959864,290400000
Procter & Gamble,63.01,167.723286,2661851865
Prologis,33.78,17.73895896,525132000
Prudential Financial,46.75,20.99075,449000000
Public Service Enterprise Group,33.97,17.16444384,505282421
PTC Inc.,33.16,3.797870708,114531686
Public Storage,189.22,32.74996713,173078782
PulteGroup,16.66,5.77074078,346383000
Qualcomm,39.0,57.213,1467000000
Quest Diagnostics,58.81,8.29221,141000000
Ralph Lauren Corporation,79.49,6.678331206,84014734
Raymond James Financial,27.6,-,-
Realty Income,38.56,9.99153116,259116472
Regency Centers,51.99,5.054858557,97227516
Regeneron Pharmaceuticals,358.49,38.143336,106400000
Regions Financial Corporation,5.45,7.06865,1297000000
Republic Services,40.65,14.01895298,344869692
ResMed,51.64,7.248581728,140367578
Rockwell Automation,94.51,12.31120735,130263542
"Rollins, Inc.",10.69,5.26024255,492071333
Roper Technologies,172.57,17.44072216,101064624
Ross Stores,52.53,21.07963721,401287592
Royal Caribbean Group,73.61,16.00345743,217408741
S&P Global,90.42,23.979384,265200000
Salesforce,73.05,49.01136345,670929000
SBA Communications,92.48,11.60734976,125512000
Schlumberger,55.6,69.6297798,1252334169
Seagate Technology,22.13,6.616542896,298985219
Sempra,38.44,19.14312,498000000
ServiceNow,61.18,9.960104,162800000
Sherwin-Williams,86.72,24.0635286,277485339
Simon Property Group,127.2,39.35782154,309416836
Skyworks Solutions,63.58,12.18627687,191668400
J.M. Smucker Company (The),96.45,11.54355006,119684293
Snap-on,124.27,7.216855234,58073994
Southern Company,34.4,31.58808982,918258425
Southwest Airlines,40.07,26.05972918,650355108
Stanley Black & Decker,81.74,12.58340635,153944291
Starbucks,48.64,71.23328,1464500000
State Street Corporation,44.5,17.95513198,403486112
Steel Dynamics,18.54,4.514504165,243500764
Steris,63.99,5.4980208,85920000
Stryker Corporation,96.56,36.11161473,373981097
Supermicro,3.41,1.628512541,477569660
Synchrony Financial,22.83,19.03634799,833830398
Synopsys,48.44,7.340008231,151527833
Sysco,36.63,6.558608313,179050186
T-Mobile US,37.02,30.43417954,822101014
T. Rowe Price,52.37,12.9945681,248130000
Take-Two Interactive,37.67,3.26120491,86573000
"Tapestry, Inc.",30.8,8.55932,277900000
Targa Resources,19.11,3.06870291,160581000
Target Corporation,61.56,37.07306439,602226517
TE Connectivity,51.8,19.14930154,369677636
Teledyne Technologies,88.14,3.037949144,34467315
Teradyne,20.37,4.162334362,204336493
"Tesla, Inc.",15.32,30.7605684,2007870000
Texas Instruments,43.91,44.54283404,1014412071
Texas Pacific Land Corporation,43.99,1.064493775,24198540
Textron,35.85,9.721501322,271171585
Thermo Fisher Scientific,137.85,56.7942,412000000
TJX Companies,34.15,45.25497923,1325182408
Tractor Supply,15.59,10.49557775,673225000
Trane Technologies,53.09,14.3343,270000000
TransDigm Group,138.26,7.392281746,53466525
Travelers Companies (The),94.58,27.655192,292400000
Trimble Inc.,24.8,6.222328978,250900362
Truist Financial,22.44,17.55658476,782379000
Tyler Technologies,128.61,4.70352492,36572000
Tyson Foods,52.5,19.06297853,363104353
U.S. Bancorp,28.77,49.82964,1732000000
"UDR, Inc.",27.2,7.266134234,267137288
Ulta Beauty,193.74,12.13165123,62618206
Union Pacific Corporation,64.49,54.23215231,840938941
United Airlines Holdings,59.86,20.31077485,339304625
United Parcel Service,73.82,65.73041515,890414727
United Rentals,60.22,5.382262224,89376656
UnitedHealth Group,111.04,105.93216,954000000
Universal Health Services,119.65,0.7891286022,6595308
Valero Energy,43.62,29.35626,673000000
Ventas,41.63,13.86207292,332982775
Verisign,87.78,9.55739862,108879000
Verisk Analytics,76.53,12.85551422,167980063
Verizon,32.43,132.1940216,4076288055
Vertex Pharmaceuticals,79.49,19.65682018,247286705
Visa Inc.,71.44,170.40226,2385250000
Vulcan Materials Company,97.08,12.94542384,133348000
W. R. Berkley Corporation,13.51,5.589496191,413730288
W. W. Grainger,200.42,12.29019112,61322179
Wabtec,74.92,6.750601869,90104136
Walmart,19.21,181.208032,9433005312
Walt Disney Company (The),92.16,150.365505,1631570150
Waste Management,49.55,22.034885,444700000
Waters Corporation,131.92,10.71898401,81253669
WEC Energy Group,43.88,13.85059944,315647207
Wells Fargo,36.76,187.7632003,5107812848
Welltower,48.19,17.19287738,356772720
West Pharmaceutical Services,66.77,4.879388147,73077552
Western Digital,31.08,9.53957088,306936000
Weyerhaeuser,21.19,16.08414704,759044221
"Williams-Sonoma, Inc.",21.65,3.860575607,178317580
Williams Companies,9.53,7.145257944,749764737
"Workday, Inc.",76.84,14.9838,195000000
Wynn Resorts,82.71,8.41743301,101770439
Xcel Energy,31.22,15.85829266,507953000
Xylem Inc.,36.34,6.48222018,178377000
Yum! Brands,48.86,19.96964496,408711522
Zebra Technologies,69.0,3.599167719,52161851
Zimmer Biomet,95.95,29.91538695,311781000
Zoetis,41.08,20.43319664,497400113
