"company","ticker","fair_value","price","mkt_cap","shares","CEO"
"Phillips 66","PSX","47.74","59.88","31.47181771","525581458","Mark Lashier"
"Pinnacle West Capital","PNW","8.2","51.18","5.673290307","110849752","Ted Geisler"
"Pool Corporation","POOL","9.36","78.46","3.29997409","42059318","Peter D. Arvan"
"PPG Industries","PPG","15.66","93.28","24.8183947","266063408","Timothy M. Knavish"
"PPL Corporation","PPL","15.67","24.88","16.65750832","669514000","Vincent Sorgi"
"Principal Financial Group","PFG","29.09","27.41","7.959864","290400000","Deanna Strable"
"Procter & Gamble","PG","241.35","63.01","167.723286","2661851865","Shailesh Jejurikar"
"Prologis","PLD","79.51","33.78","17.73895896","525132000","Dan Letter"
"Prudential Financial","PRU","23.95","46.75","20.99075","449000000","Andrew Sullivan"
"Public Service Enterprise Group","PEG","30.31","33.97","17.16444384","505282421","Ralph A. LaRossa"
"PTC Inc.","PTC","4.13","33.16","3.797870708","114531686","Neil Barua"
"Public Storage","PSA","46","189.22","32.74996713","173078782","Joseph D. Russell Jr. (Joe Russell)"
"PulteGroup","PHM","38.95","16.66","5.77074078","346383000","Ryan R. Marshall"
"Qualcomm","QCOM","128.19","39","57.213","1467000000","Cristiano Amon"
"Quest Diagnostics","DGX","16.25","58.81","8.29221","141000000","Jim Davis (James E. Davis)"
"Ralph Lauren Corporation","RL","9.53","79.49","6.678331206","84014734","Patrice Louvet"
"Raymond James Financial","RJF","23.36","27.6","-","-","Paul Shoukry"
"Realty Income","O","16.22","38.56","9.99153116","259116472","Sumit Roy"
"Regency Centers","REG","6.79","51.99","5.054858557","97227516","Lisa Palmer"
"Regeneron Pharmaceuticals","REGN","73.23","358.49","38.143336","106400000","Leonard S. Schleifer, MD, PhD"
"Regions Financial Corporation","RF","26.29","5.45","7.06865","1297000000","John M. Turner Jr."
"Republic Services","RSG","24.66","40.65","14.01895298","344869692","Jon Vander Ark"
"ResMed","RMD","13.56","51.64","7.248581728","140367578","Michael J. Farrell (also known as Mick Farrell)"
"Rockwell Automation","ROK","15.52","94.51","12.31120735","130263542","Blake Moret"
"Rollins, Inc.","ROL","7.27","10.69","5.26024255","492071333","Jerry E. Gahlhoff, Jr."
"Roper Technologies","ROP","27.57","172.57","17.44072216","101064624","Neil Hunn (Laurence Neil Hunn)"
"Ross Stores","ROST","29.99","52.53","21.07963721","401287592","James G. Conroy"
"Royal Caribbean Group","RCL","0.46","73.61","16.00345743","217408741","Jason Liberty"
"S&P Global","SPGI","72.09","90.42","23.979384","265200000","Martina L. Cheung"
"Salesforce","CRM","43.29","73.05","49.01136345","670929000","Marc Benioff"
"SBA Communications","SBAC","7.37","92.48","11.60734976","125512000","Brendan Cavanagh"
"Schlumberger","SLB","31.58","55.6","69.6297798","1252334169","Olivier Le Peuch"
"Seagate Technology","STX","10.45","22.13","6.616542896","298985219","Dr. Dave Mosley (William David Mosley)"
"Sempra","SRE","25.58","38.44","19.14312","498000000","Jeffrey W. Martin"
"ServiceNow","NOW","22.86","61.18","9.960104","162800000","Bill McDermott"
"Sherwin-Williams","SHW","34.71","86.72","24.0635286","277485339","Heidi G. Petz"
"Simon Property Group","SPG","26.93","127.2","39.35782154","309416836","David Simon"
"Skyworks Solutions","SWKS","12.79","63.58","12.18627687","191668400","Philip Brace"
"J.M. Smucker Company (The)","SJM","6.99","96.45","11.54355006","119684293","Mark Smucker"
"Snap-on","SNA","11.31","124.27","7.216855234","58073994","Nicholas T. Pinchuk"
"Southern Company","SO","50.61","34.4","31.58808982","918258425","Christopher C. Womack"
"Southwest Airlines","LUV","4.15","40.07","26.05972918","650355108","Bob Jordan"
"Stanley Black & Decker","SWK","7.27","81.74","12.58340635","153944291","Christopher J. Nelson"
"Starbucks","SBUX","57.1","48.64","71.23328","1464500000","Brian Niccol"
"State Street Corporation","STT","36.22","44.5","17.95513198","403486112","Ronald P. O'Hanley"
"Steel Dynamics","STLD","26.25","18.54","4.514504165","243500764","Mark D. Millett"
"Steris","STE","4.99","63.99","5.4980208","85920000","Daniel A. Carestio"
"Stryker Corporation","SYK","37.39","96.56","36.11161473","373981097","Kevin A. Lobo"
"Supermicro","SMCI","15.43","3.41","1.628512541","477569660","Charles Liang"
"Synchrony Financial","SYF","39.94","22.83","19.03634799","833830398","Brian Doubles"
"Synopsys","SNPS","22.53","48.44","7.340008231","151527833","Sassine Ghazi"
"Sysco","SYY","25.14","36.63","6.558608313","179050186","Kevin P. Hourican"
"T-Mobile US","TMUS","155.97","37.02","30.43417954","822101014","Srini Gopalan"
"T. Rowe Price","TROW","35.59","52.37","12.9945681","248130000","Robert W. Sharps (Rob Sharps)"
"Take-Two Interactive","TTWO","0.66","37.67","3.26120491","86573000","Strauss Zelnick"
"Tapestry, Inc.","TPR","8.73","30.8","8.55932","277900000","Joanne Crevoiserat"
"Targa Resources","TRGP","15.01","19.11","3.06870291","160581000","Matthew J. Meloy"
"Target Corporation","TGT","74.34","61.56","37.07306439","602226517","Brian Cornell"
"TE Connectivity","TEL","29.35","51.8","19.14930154","369677636","Terrence R. Curtin"
"Teledyne Technologies","TDY","8.64","88.14","3.037949144","34467315","George C. Bobb III"
"Teradyne","TER","12.99","20.37","4.162334362","204336493","Greg Smith"
"Tesla, Inc.","TSLA","230.97","15.32","30.7605684","2007870000","Elon Musk"
"Texas Instruments","TXN","90.38","43.91","44.54283404","1014412071","Haviv Ilan"
"Texas Pacific Land Corporation","TPL","3.73","43.99","1.064493775","24198540","Tyler Glover"
"Textron","TXT","10.97","35.85","9.721501322","271171585","Lisa Atherton"
"Thermo Fisher Scientific","TMO","96.97","137.85","56.7942","412000000","Marc N. Casper"
"TJX Companies","TJX","66.14","34.15","45.25497923","1325182408","Ernie Herrman"
"Tractor Supply","TSCO","21.91","15.59","10.49557775","673225000","Hal Lawton"
"Trane Technologies","TT","33.8","53.09","14.3343","270000000","Dave Regnery"
"TransDigm Group","TDG","21.52","138.26","7.392281746","53466525","Michael J. Lisman (Mike Lisman)"
"Travelers Companies (The)","TRV","59.02","94.58","27.655192","292400000","Alan D. Schnitzer"
"Trimble Inc.","TRMB","7.46","24.8","6.222328978","250900362","Robert G. Painter"
"Truist Financial","TFC","25.66","22.44","17.55658476","782379000","William H. Rogers Jr."
"Tyler Technologies","TYL","2.17","128.61","4.70352492","36572000","H. Lynn Moore Jr."
"Tyson Foods","TSN","15.32","52.5","19.06297853","363104353","Donnie King"
"U.S. Bancorp","USB","80.98","28.77","49.82964","1732000000","Gunjan Kedia"
"UDR, Inc.","UDR","3.32","27.2","7.266134234","267137288","Thomas W. Toomey"
"Ulta Beauty","ULTA","14.04","193.74","12.13165123","62618206","Kecia Steelman"
"Union Pacific Corporation","UNP","97.17","64.49","54.23215231","840938941","Jim Vena (Vincenzo James Vena)"
"United Airlines Holdings","UAL","9.32","59.86","20.31077485","339304625","Scott Kirby"
"United Parcel Service","UPS","125.7","73.82","65.73041515","890414727","Carol B. Tomé"
"United Rentals","URI","31.16","60.22","5.382262224","89376656","Matthew Flannery"
"UnitedHealth Group","UNH","305.5","111.04","105.93216","954000000","Stephen J. Hemsley"
"Universal Health Services","UHS","11.55","119.65","0.7891286022","6595308","Marc D. Miller"
"Valero Energy","VLO","46.27","43.62","29.35626","673000000","R. Lane Riggs"
"Ventas","VTR","2.28","41.63","13.86207292","332982775","Debra A. Cafaro"
"Verisign","VRSN","13.55","87.78","9.55739862","108879000","D. James Bidzos"
"Verisk Analytics","VRSK","12.65","76.53","12.85551422","167980063","Lee M. Shavel"
"Verizon","VZ","218.65","32.43","132.1940216","4076288055","Dan Schulman"
"Vertex Pharmaceuticals","VRTX","45.47","79.49","19.65682018","247286705","Reshma Kewalramani"
"Visa Inc.","V","278.47","71.44","170.40226","2385250000","Ryan McInerney"
"Vulcan Materials Company","VMC","8.73","97.08","12.94542384","133348000","Ronnie Pruitt"
"W. R. Berkley Corporation","WRB","21.83","13.51","5.589496191","413730288","W. Robert Berkley, Jr."
"W. W. Grainger","GWW","27.62","200.42","12.29019112","61322179","D.G. Macpherson (Donald G. Macpherson)"
"Wabtec","WAB","10.55","74.92","6.750601869","90104136","Rafael Santana"
"Walmart","WMT","232.31","19.21","181.208032","9433005312","John Furner"
"Walt Disney Company (The)","DIS","52.65","92.16","150.365505","1631570150","Robert A. Iger"
"Waste Management","WM","38.7","49.55","22.034885","444700000","James C. Fish, Jr."
"Waters Corporation","WAT","9.12","131.92","10.71898401","81253669","Udit Batra"
"WEC Energy Group","WEC","18.52","43.88","13.85059944","315647207","Scott Lauber"
"Wells Fargo","WFC","222.71","36.76","187.7632003","5107812848","Charlie Scharf"
"Welltower","WELL","5.75","48.19","17.19287738","356772720","Shankh Mitra"
"West Pharmaceutical Services","WST","7.99","66.77","4.879388147","73077552","Eric M. Green"
"Western Digital","WDC","2.47","31.08","9.53957088","306936000","Irving Tan"
"Weyerhaeuser","WY","19.41","21.19","16.08414704","759044221","Devin W. Stockfish"
"Williams-Sonoma, Inc.","WSM","15.5","21.65","3.860575607","178317580","Laura Alber"
"Williams Companies","WMB","28.89","9.53","7.145257944","749764737","Chad J. Zamarin"
"Workday, Inc.","WDAY","4.93","76.84","14.9838","195000000","Carl Eschenbach"
"Wynn Resorts","WYNN","0.94","82.71","8.41743301","101770439","Craig Billings"
"Xcel Energy","XEL","17.32","31.22","15.85829266","507953000","Bob Frenzel"
"Xylem Inc.","XYL","7.27","36.34","6.48222018","178377000","Matthew Pine"
"Yum! Brands","YUM","27.76","48.86","19.96964496","408711522","Chris Turner"
"Zebra Technologies","ZBRA","4.4","69","3.599167719","52161851","Bill Burns (William J. Burns)"
"Zimmer Biomet","ZBH","6.8","95.95","29.91538695","311781000","Ivan Tornos"
"Zoetis","ZTS","36.97","41.08","20.43319664","497400113","Kristin Peck"
